run_name,optimizer,lr0,batch,imgsz,epochs,workers,varied_param,varied_value,precision,recall,map50,map50_95,fitness
report_epochs_15,SGD,0.01,8,640,15,0,epochs,15,0.9512631527862139,0.8,0.8877643852286978,0.6849630478681926,0.6849630478681926
report_epochs_25,SGD,0.01,8,640,25,0,epochs,25,0.945766314428976,0.8048803835612784,0.8897099521966918,0.706517347245956,0.706517347245956
report_epochs_35,SGD,0.01,8,640,35,0,epochs,35,0.9814761515931982,0.8151477223499942,0.9004902204779467,0.7331570003185741,0.7331570003185741
report_lr0_0p01,SGD,0.01,8,640,25,0,lr0,0.01,0.945766314428976,0.8048803835612784,0.8897099521966918,0.706517347245956,0.706517347245956
report_lr0_0p005,SGD,0.005,8,640,25,0,lr0,0.005,0.9509612515767195,0.823076923076923,0.9039826998793433,0.7268897020600218,0.7268897020600218
report_lr0_0p001,SGD,0.001,8,640,25,0,lr0,0.001,0.9023925385844642,0.8533989961528652,0.8791922918868205,0.7100953106783017,0.7100953106783017
report_optimizer_SGD,SGD,0.01,8,640,25,0,optimizer,SGD,0.945766314428976,0.8048803835612784,0.8897099521966918,0.706517347245956,0.706517347245956
report_optimizer_Adam,Adam,0.01,8,640,25,0,optimizer,Adam,0.8363430744926081,0.823076923076923,0.856390273122826,0.6638869966291914,0.6638869966291914
report_batch_6,SGD,0.01,6,640,25,0,batch,6,0.9503542708632046,0.823076923076923,0.8853862321735928,0.7084678924944406,0.7084678924944406
report_batch_8,SGD,0.01,8,640,25,0,batch,8,0.945766314428976,0.8048803835612784,0.8897099521966918,0.706517347245956,0.706517347245956
report_batch_10,SGD,0.01,10,640,25,0,batch,10,0.9808010026143411,0.823076923076923,0.9000561341399336,0.7186862904993803,0.7186862904993803
report_imgsz_512,SGD,0.01,8,512,25,0,imgsz,512,0.9289976250141462,0.8051864828644552,0.8863367680769516,0.707822893621709,0.707822893621709
report_imgsz_640,SGD,0.01,8,640,25,0,imgsz,640,0.945766314428976,0.8048803835612784,0.8897099521966918,0.706517347245956,0.706517347245956
report_imgsz_768,SGD,0.01,8,768,25,0,imgsz,768,0.9310065769679853,0.8076923076923077,0.8784536838918384,0.6991599705541498,0.6991599705541498
